"","m","ResponseId.x","co2","tax","energieabhaengigkeit","zeitpunkt","counter","response","Duration.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","age","Minutes.wave1","Minutes.wave2","Minutes","decision","emotions.re.pos","emotions.re.pos.scaled","emotions.re.neg.scaled","emotions.crisis.neg.tot","emotions.crisis.neg.tot.sc","trust.gov","trust.gov.scaled","trust.info.media","trust.info.gov","climate_concern","concern.scaled","ResponseId.wave1","V1","V2","difference"
"1",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+6%","+20%","in 7 Jahren",1,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"2",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+1%","+20%","in 1 Jahr    ",5,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"3",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+1%","+10%","in 7 Jahren",3,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"4",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+1%","+20%","in 7 Jahren",0,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"5",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+6%","+20%","in 7 Jahren",15,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"6",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+6%","+20%","in 1 Jahr    ",11,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"7",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+6%","+10%","in 7 Jahren",6,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"8",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+6%","+10%","in 1 Jahr    ",10,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"9",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+1%","+10%","in 1 Jahr    ",2,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"10",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+6%","+10%","in 1 Jahr    ",8,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"11",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+6%","+20%","in 1 Jahr    ",7,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"12",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+1%","+10%","in 7 Jahren",12,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"13",227471319859444,"R_8q6n1RRt6MyyXex","-15% CO2","+1%","+20%","in 1 Jahr    ",14,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"14",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+1%","+10%","in 1 Jahr    ",4,"Dafür",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",1,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"15",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+1%","+20%","in 7 Jahren",9,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"16",227471319859444,"R_8q6n1RRt6MyyXex","-30% CO2","+6%","+10%","in 7 Jahren",13,"Dagegen",1022,"male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,73,17,19,"okay",0,6,1.5471615720524,-1.41528384279476,2,-1.86573670444638,4.33333333333333,0.642297650130547,3,4,6,1.07881773399015,"R_8q6n1RRt6MyyXex",0.760469987290654,1.59824120697267,"0"
"17",227471319859447,"R_3037BPovs68z8Wp","-15% CO2","+6%","+20%","in 1 Jahr    ",15,"Dagegen",1366,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,64,22,39,"okay",0,5,0.547161572052402,1.58471615720524,4,0.134263295553618,3,-0.691035683202786,3,3,6,1.07881773399015,"R_3037BPovs68z8Wp",0.893410131545721,1.39836985062282,"0"
"18",227471319859447,"R_3037BPovs68z8Wp","-30% CO2","+6%","+20%","in 7 Jahren",2,"Dagegen",1366,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,64,22,39,"okay",0,5,0.547161572052402,1.58471615720524,4,0.134263295553618,3,-0.691035683202786,3,3,6,1.07881773399015,"R_3037BPovs68z8Wp",0.893410131545721,1.39836985062282,"0"
"19",227471319859447,"R_3037BPovs68z8Wp","-30% CO2","+6%","+10%","in 1 Jahr    ",10,"Dagegen",1366,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,64,22,39,"okay",0,5,0.547161572052402,1.58471615720524,4,0.134263295553618,3,-0.691035683202786,3,3,6,1.07881773399015,"R_3037BPovs68z8Wp",0.893410131545721,1.39836985062282,"0"
