"","ResponseId.wave1","m","behavior","estimate","gender","age","income.wave1","country","education","actual","estimation.bias","estimation.bias.log","absolute.error","absolute.error.log","actual.log","estimate.log","climate_concern","concern.scaled"
"1","R_0dg1Hw00DVaqtzz",229678093154327,"dishwasher",40,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",74,0.540540540540541,-0.267171728403014,0.540540540540541,0.267171728403014,1.86923171973098,1.60205999132796,5.25,0.328817733990148
"2","R_0dg1Hw00DVaqtzz",229678093154327,"dryer",1000,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",1088,0.919117647058823,-0.0366288953621611,0.919117647058823,0.0366288953621611,3.03662889536216,3,5.25,0.328817733990148
"3","R_0dg1Hw00DVaqtzz",229678093154327,"fridge_eff",50,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",52,0.961538461538462,-0.0170333392987803,0.961538461538462,0.0170333392987803,1.7160033436348,1.69897000433602,5.25,0.328817733990148
"4","R_0dg1Hw00DVaqtzz",229678093154327,"hairdryer",80,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",128,0.625,-0.204119982655925,0.625,0.204119982655925,2.10720996964787,1.90308998699194,5.25,0.328817733990148
"5","R_0dg1Hw00DVaqtzz",229678093154327,"heating",3000,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",1141,2.62927256792287,0.419835610301448,2.62927256792287,0.419835610301448,3.05728564441821,3.47712125471966,5.25,0.328817733990148
"6","R_0dg1Hw00DVaqtzz",229678093154327,"light_eff",350,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",358,0.977653631284916,-0.00981498229359872,0.977653631284916,0.00981498229359872,2.55388302664387,2.54406804435028,5.25,0.328817733990148
"7","R_0dg1Hw00DVaqtzz",229678093154327,"shower",50,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",1186,0.0421585160202361,-1.37511468469222,0.0421585160202361,1.37511468469222,3.07408468902824,1.69897000433602,5.25,0.328817733990148
"8","R_0dg1Hw00DVaqtzz",229678093154327,"washing",1000,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","degree",127,7.8740157480315,0.896196279044043,7.8740157480315,0.896196279044043,2.10380372095596,3,5.25,0.328817733990148
"9","R_0OfdToodUAnFM6B",229320606084260,"dishwasher",30,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",74,0.405405405405405,-0.392110465011314,0.405405405405405,0.392110465011314,1.86923171973098,1.47712125471966,5.25,0.328817733990148
"10","R_0OfdToodUAnFM6B",229320606084260,"dryer",15,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",1088,0.0137867647058824,-1.86053763630648,0.0137867647058824,1.86053763630648,3.03662889536216,1.17609125905568,5.25,0.328817733990148
"11","R_0OfdToodUAnFM6B",229320606084260,"fridge_eff",30,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",52,0.576923076923077,-0.238882088915137,0.576923076923077,0.238882088915137,1.7160033436348,1.47712125471966,5.25,0.328817733990148
"12","R_0OfdToodUAnFM6B",229320606084260,"hairdryer",40,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",128,0.3125,-0.505149978319906,0.3125,0.505149978319906,2.10720996964787,1.60205999132796,5.25,0.328817733990148
"13","R_0OfdToodUAnFM6B",229320606084260,"heating",20,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",1141,0.0175284837861525,-1.75625564875423,0.0175284837861525,1.75625564875423,3.05728564441821,1.30102999566398,5.25,0.328817733990148
"14","R_0OfdToodUAnFM6B",229320606084260,"light_eff",15,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",358,0.0418994413407821,-1.37779176758819,0.0418994413407821,1.37779176758819,2.55388302664387,1.17609125905568,5.25,0.328817733990148
"15","R_0OfdToodUAnFM6B",229320606084260,"shower",10,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",1186,0.00843170320404722,-2.07408468902824,0.00843170320404722,2.07408468902824,3.07408468902824,1,5.25,0.328817733990148
"16","R_0OfdToodUAnFM6B",229320606084260,"washing",50,"male",20,"> 4'000€
>5'900 CHF","Germany","middle school",127,0.393700787401575,-0.404833716619938,0.393700787401575,0.404833716619938,2.10380372095596,1.69897000433602,5.25,0.328817733990148
"17","R_0OolMie4oWOnlJv",229678093372428,"dishwasher",180,"male",41,"2'500- 4'000€
<4'300- 5'899CHF","Switzerland","middle school",74,2.43243243243243,0.38604078537233,2.43243243243243,0.38604078537233,1.86923171973098,2.25527250510331,2.75,-2.17118226600985
