1000;Lausanne
1003;Lausanne
1004;Lausanne
1005;Lausanne
1006;Lausanne
1007;Lausanne
1008;Jouxtens-Mézery
1008;Prilly
1009;Pully
1010;Lausanne
1011;Lausanne
1012;Lausanne
1015;Lausanne
1018;Lausanne
1020;Renens VD
1022;Chavannes-près-Renens
1023;Crissier
1024;Ecublens VD
1025;St-Sulpice VD
1026;Denges
1026;Echandens
1027;Lonay
1028;Préverenges
1029;Villars-Ste-Croix
1030;Bussigny
1031;Mex VD
1032;Romanel-sur-Lausanne
1033;Cheseaux-sur-Lausanne
1034;Boussens
1035;Bournens
1036;Sullens
1037;Etagnières
1038;Bercher
1040;Echallens
1040;St-Barthélemy VD
1040;Villars-le-Terroir
1041;Bottens
1041;
1041;
1041;Poliez-Pittet
1042;Assens
1042;Bettens
1043;
1044;Fey
1045;Ogens
1046;Rueyres
1047;Oppens
1052;Le Mont-sur-Lausanne
1053;Bretigny-sur-Morrens
1053;Cugy VD
1054;Morrens VD
1055;Froideville
1063;Boulens
1066;Epalinges
1070;Puidoux
1071;Chexbres
1071;Rivaz
1071;St-Saphorin (Lavaux)
1072;Forel (Lavaux)
1073;Savigny
1076;
1077;Servion
1081;Montpreveyres
1082;Corcelles-le-Jorat
1085;Vulliens
1088;Ropraz
1091;
1092;Belmont-sur-Yverdon
1094;Paudex
1095;Lutry
1110;Morges
1112;Echichens
1114;
1115;Vullierens
1117;Grancy
1121;Bremblens
1122;Romanel-sur-Morges
1123;Aclens
1124;Gollion
1126;Vaux-sur-Morges
1127;Clarmont
1131;Tolochenaz
1132;Lully VD
1134;Chigny
1134;Vufflens-le-Château
1135;Denens
1144;Ballens
1145;Bière
1145;
1146;Mollens VD
1147;Montricher
1148;Chavannes-le-Veyron
1148;Cuarnens
1148;L'Isle
1148;La Praz
1148;Mauraz
1148;Moiry VD
1148;Mont-la-Ville
1149;Berolle
1162;St-Prex
1163;Etoy
1164;Buchillon
1165;Allaman
1166;Perroy
1167;Lussy-sur-Morges
1168;Villars-sous-Yens
1169;Yens
1170;Aubonne
1172;Bougy-Villars
1173;Féchy
1175;Lavigny
1176;St-Livres
1180;Rolle
1180;Tartegnin
1182;Gilly
1183;Bursins
1184;Luins
1184;Vinzel
1185;Mont-sur-Rolle
1186;Essertines-sur-Rolle
1187;St-Oyens
1188;Gimel
1188;St-George
1195;Bursinel
1195;Dully
1195;Dürnten
1196;Gland
1197;Prangins
1200;Genève
1201;Genève
1202;Genève
1202;
1203;Genève
1204;Genève
1205;Genève
1206;Genève
1207;Genève
1208;Genève
1209;Genève
1212;
1213;Onex
1214;Vernier
1215;Genève 15 Aéroport
1217;Meyrin
1218;Le Grand-Saconnex
1223;Cologny
1224;Chêne-Bougeries
1225;Chêne-Bourg
1226;Thônex
1227;Carouge GE
1228;Plan-les-Ouates
1232;Confignon
1233;Bernex
1236;Cartigny
1237;Avully
1239;Collex
1241;Puplinge
1242;Satigny
1243;Presinge
1244;Choulex
1245;Collonge-Bellerive
1246;Corsier GE
1247;Anières
1248;Hermance
1251;Gy
1252;Meinier
1253;Vandoeuvres
1254;Jussy
1255;Veyrier
1256;Troinex
1257;
1258;Perly
1260;Nyon
1261;Le Vaud
1261;Longirod
1261;Marchissy
1262;Eysins
1263;Crassier
1264;St-Cergue
1266;Duillier
1267;Coinsins
1267;Vich
1268;Begnins
1268;Burtigny
1269;Bassins
1270;Trélex
1271;Givrins
1272;Genolier
1274;Grens
1274;Signy
1275;Chéserex
1276;Gingins
1277;Arnex-sur-Nyon
1277;Borex
1278;La Rippe
1279;Bogis-Bossey
1279;Chavannes-de-Bogis
1281;Russin
1283;Dardagny
1284;Chancy
1286;Soral
1287;Laconnex
1288;Aire-la-Ville
1290;Chavannes-des-Bois
1290;Versoix
1291;Commugny
1293;Bellevue
1294;Genthod
1295;Mies
1295;Tannay
1296;Coppet
1297;Founex
1298;Céligny
1302;Vufflens-la-Ville
1303;Penthaz
1304;Cossonay-Ville
1304;Dizy
1304;Senarclens
1305;Penthalaz
1306;Daillens
1307;Lussery-Villars
1308;La Chaux (Cossonay)
1312;Eclépens
1313;Ferreyres
1315;La Sarraz
1316;Chevilly
1317;Orny
1318;Pompaples
1321;Arnex-sur-Orbe
1322;Croy
1323;Romainmôtier
1324;Premier
1325;Vaulion
1326;Juriens
1329;Bretonnières
1337;Vallorbe
1338;Ballaigues
1344;L'Abbaye
1345;Le Lieu
1350;Orbe
1352;Agiez
1353;Bofflens
1354;Montcherand
1355;L'Abergement
1355;Sergey
1356;Les Clées
1357;Lignerolle
1358;Valeyres-sous-Rances
1372;Bavois
1373;Chavornay
1375;Penthéréaz
1376;Goumoens-la-Ville
1376;Goumoens-le-Jux
1377;Oulens-sous-Echallens
1400;Cheseaux-Noréaz
1400;Yverdon-les-Bains
1404;Cuarny
1404;Villars-Epeney
1405;Pomy
1406;Cronay
1407;Bioley-Magnoux
1407;Donneloye
1410;Prévondavaux
1410;
1412;Ursins
1412;Valeyres-sous-Ursins
