"","ResponseId.wave1","V1","V2","difference","m"
"1","R_01khgozVq3awK6l",1.03803933155281,1.21620365462188,"0",229255657984114
"2","R_0Ccj6UbDeEIHB29",0.932223383790991,1.33345191892603,"0",229320605935722
"3","R_0dg1Hw00DVaqtzz",0.623253585809324,1.62497220956493,"0",229678093154327
"4","R_0ePq1ONxoWexxIZ",0.895543145502288,1.37313851681815,"0",229677069770883
"5","R_0j0zAq6VQ3vdScp",0.893369910275583,1.38921431880312,"0",229242295751744
"6","R_0OfdToodUAnFM6B",1.09391892798105,1.09973193968486,"0",229320606084260
"7","R_0OolMie4oWOnlJv",0.779310439968531,1.51200474411361,"0",229678093372428
"8","R_0TmEasAMNDaTx73",1.107050578729,1.07015598875635,"1",229255657997387
"9","R_10AtUJUGZhCk5ng",0.803851245821637,1.5047499039425,"0",229242295744695
"10","R_10BPCjelrDxAXgb",0.99919740797871,1.25494742740671,"0",230469411950672
"11","R_10TQ9M87QSuIqpq",1.19073108987958,0.925576130624633,"1",229677069783098
"12","R_10ZfwML5Q6HbOBv",1.05484436587317,1.1496061123642,"0",230296025238534
"13","R_1118V3m8mB8zTU3",0.799573684435851,1.47638496606487,"0",229242450005063
"14","R_114x80EEaCoWOK0",1.02990873230713,1.20188540673317,"0",229321437670402
"15","R_11bfomFynMxQ2HS",0.764027618751875,1.51746212769571,"0",229256171561183
"16","R_11crUzIYPdbRfiF",1.16568383025925,0.9810455965931,"1",229320605939886
"17","R_122NLeAz7IQz6Db",0.900263028706572,1.35848679824477,"0",229409893558502
"18","R_123mcZ5Ghsa8y8U",0.958106501777906,1.31352246299419,"0",229409893567654
"19","R_1253hukGlxFYfER",1.17175368011439,0.979524077677899,"1",229255657952395
"20","R_12DTHefOjls1akp",0.948402509761301,1.29119395927784,"0",229409893556414
"21","R_12GrTCx97UpFVGv",1.08446575791604,1.15458092752253,"0",229678093097023
"22","R_12i4SXq1sTQbnI2",1.05361036720145,1.1656994764435,"0",229678093243470
"23","R_12JYacNsaMn3IDo",0.787802661856392,1.50071833837078,"0",229678093128888
"24","R_12KA26bT3vvPUxO",0.955268892336376,1.30831093102661,"0",229855352032472
"25","R_12lsW5LKCBOXjZ1",0.944159501512017,1.35683812667061,"0",229409893597357
"26","R_12McFRO8avvy3pt",0.917003759634765,1.33927889590002,"0",229320605959210
"27","R_12nkx2QU4KAOjzq",1.1660432485013,0.965987313789534,"1",229256171672827
"28","R_12PiLyJbDjUFPsb",0.864851716066784,1.41509140050704,"0",229678093104221
"29","R_12RpgfF9RbUB4ew",1.00306564022885,1.22740655527269,"0",229242295810100
"30","R_12sASZ4D9fY0jtV",1.23245931684662,0.847177629888126,"1",229242450030694
"31","R_12xSA7ZhOZnEVX2",1.04689404430325,1.13851899962031,"0",229242295743657
"32","R_12yXH8xz8UrwnZY",0.920881667667123,1.32922895693516,"0",229242450000079
"33","R_12zZPiBUIW0qjxi",1.08446575791604,1.15458092752253,"0",229678093270176
"34","R_1BXgSc3k1bJf4ZS",0.999982268218403,1.22597541388995,"0",229256171892884
"35","R_1C4wdUlbfbQ1hML",1.23604650828289,0.837154477931074,"1",229166066778304
"36","R_1CaoCMfaarSxBtF",1.04404929838216,1.17647600006591,"0",229242449956909
"37","R_1CdA8mHseMZSYAc",0.971902395090311,1.26449334011258,"0",229242295761139
"38","R_1Cf6yTr5MYyJtR8",1.23245931684662,0.847177629888127,"1",229677069772955
"39","R_1CHdVbZbPKziApa",0.888659927493527,1.38643875087403,"0",229409893560326
"40","R_1CpbbcLiMzHifTD",1.18311402323303,0.94482805403344,"1",229409893560330
"41","R_1CrJ4uXaFN5veAS",1.0775953206135,1.12147266983053,"0",229409893571803
"42","R_1cRMDsT3mr8KrF8",0.986035332759751,1.26450685138793,"0",229255657936995
"43","R_1cUttmhVO5YA2hl",0.956119302218171,1.2686176993932,"0",229166066775173
"44","R_1CxODomo4PUuC5Z",0.91708397501064,1.35621761169782,"0",229242295835661
"45","R_1d9WC22juoRU6UJ",1.05237668060212,1.16546965232102,"0",229255658003638
"46","R_1daH5gUZnfipx6N",0.965721013968495,1.32706236879471,"0",229409893562421
"47","R_1dFaniBnw4OZYyy",0.867602981103755,1.42437950714585,"0",229255658041440
"48","R_1DGOdzvEE0oWumq",0.90206609515244,1.37611230461497,"0",229409893575713
"49","R_1dh2SLCrb3l4X8m",1.17633851937666,0.941969983227496,"1",229855352128714
"50","R_1dhFXt21F0rsBNx",0.964441462529035,1.26844371613548,"0",229409893556409
"51","R_1DHkbYKKczezY5F",1.15022303828568,0.977303851750767,"1",229166066768913
"52","R_1dmLjHqAUZBBTQe",0.852886557266548,1.42681690444392,"0",229321437924445
"53","R_1DOot6b2nba5OXw",0.713132452691168,1.57985122652422,"0",229255657962533
"54","R_1DpZ2imN1WBm1c6",0.822645175613529,1.47127273463091,"0",229409893636180
"55","R_1dtb3TlGOCmUA69",1.01867630464401,1.19014926565362,"0",229321437858830
"56","R_1dtQ89qnhvDRtCJ",0.886499202525552,1.39502911310468,"0",229758201742380
"57","R_1dtwL2SihzAOGQp",0.761525353624928,1.51655189319038,"0",229320605954250
"58","R_1DtZIJqboWi8LBH",0.472194493833759,1.73682612416797,"0",229678093262980
"59","R_1dtZmWqpoAeMjuq",0.992368314921519,1.29208272414682,"0",229242295743656
"60","R_1DvYPnMPDojvXzI",0.887778177143619,1.40857190477576,"0",229677069772958
